state,year,cpi,pop,packpc,income,tax,avgprs,taxs
AL,1985,1.076,3973000,116.48628,46014968,32.5,102.18167,33.34834
AR,1985,1.076,2327000,128.53459,26210736,37,101.475,37
AZ,1985,1.076,3184000,104.52261,43956936,31,108.57875,36.17042
CA,1985,1.076,26444000,100.36304,447102816,26,107.83734,32.104
CO,1985,1.076,3209000,112.96354,49466672,31,94.26666,31
CT,1985,1.076,3201000,109.27835,60063368,42,128.02499,51.48333
DE,1985,1.076,618000,143.85114,9927301,30,102.49166,30
FL,1985,1.076,11352000,122.18112,166919248,37,115.29,42.49
GA,1985,1.076,5963000,127.23462,78364336,28,97.02517,28.84183
IA,1985,1.076,2830000,113.74558,37902896,34,101.842,37.917
ID,1985,1.076,994000,103.01811,11577261,25.1,102.89933,29.05767
IL,1985,1.076,11401000,123.20848,176786352,28.00001,104.44025,28.91526
IN,1985,1.076,5460000,137.63737,71751616,26.5,96.18,31.08
KS,1985,1.076,2428000,116.6804,34784360,32,98.92291,34.88125
KY,1985,1.076,3695000,186.03519,42703144,19,87.00125,23.14292
LA,1985,1.076,4409000,127.55727,53431900,32,108.394,36.169
MA,1985,1.076,5881000,115.6776,98328688,42,112.20834,42
MD,1985,1.076,4414000,120.97871,74851664,29,91.96667,29
ME,1985,1.076,1163000,128.11694,14575292,36,107.0475,41.0975
MI,1985,1.076,9077000,128.00485,133728040,37,104.91417,37.83083
MN,1985,1.076,4185000,112.90323,63152360,34,113.64967,40.433
MO,1985,1.076,5001000,130.37393,69341920,29,99.33817,29.85484
MS,1985,1.076,2588000,117.04018,25678534,27.58333,105.29333,33.54333
MT,1985,1.076,822000,104.2579,9785230,32,99.29166,32
NC,1985,1.076,6255000,155.28377,79104656,18,84.96799,21.268
ND,1985,1.076,677000,105.46529,8672948,34,106.808,38.108
NE,1985,1.076,1585000,107.38171,21778072,34,104.60667,38.02333
NH,1985,1.076,997000,197.99399,15767469,33,95.5,33
NJ,1985,1.076,7566000,116.52128,133549208,41,110.41666,41
NM,1985,1.076,1439000,88.74218,17258916,28,102.778,31.953
NV,1985,1.076,951000,141.95584,14581495,31,114.1885,37.4635
NY,1985,1.076,17794000,116.66292,297728512,37,109.99783,37.88117
OH,1985,1.076,10736000,127.59874,153455776,30,100.42374,34.78208
OK,1985,1.076,3272000,127.13937,43395580,34,101.46808,34.82642
OR,1985,1.076,2673000,119.4538,36205164,35,97.03333,35
PA,1985,1.076,11772000,117.70303,170033840,34,109.07401,40.174
RI,1985,1.076,967000,132.78178,14229156,39,100.94167,39
SC,1985,1.076,3304000,127.20944,38536176,23,90.64125,27.31625
SD,1985,1.076,698000,106.59026,8340000,31,97.08334,31
TN,1985,1.076,4716000,129.83459,57749668,29,101.9455,34.7705
